
   The included below is "mass table" calculated with the NL3* covariant 
energy density functional. It represent a part of the study of the global
performance of covariant energy density functionals and assesment of 
related systematic theoretical uncertainties. The major results of this
study are presented in the following publication: 

      S. E. Agbemava, A. V. Afanasjev, D. Ray and P. Ring,
     "Global performance of covariant energy density functionals: 
      Ground state observables of even-even nuclei and the estimate 
      of theoretical uncertainties", 
      Physical Review C 89, 054320 (2014)

with additional analysis provided in two follow-up publications 

      A.V.Afanasjev and S.E.Agbemava,
      "Covariant energy density functionals: Nuclear matter constraints 
       and global ground state properties"
      Phys. Rev. C 93, 054310 (2016)

      A.V. Afanasjev, S.E. Agbemava, D. Ray and P.Ring,
      "Neutron drip line: Single-particle degrees of freedom and
      pairing properties as sources of theoretical uncertainties"
      Phys. Rev. C 91, 014324 (2015).

 
  If you have questions, please, contact Anatoli Afanasjev at 
           Anatoli.Afanasjev@gmail.com

------------------------------------------------------------------------

  THE NOTATION OF THE OBSERVABLES INCLUDED INTO TABLE
 
  Z    - proton number
  N    - neutron number
 def   - equilibrium quadrupole deformation
  E    - total binding energy  (in MeV)
Lam_n  - neutron chemical potential  (in MeV)
Lam_p  - proton chemical potential (in MeV)
Ep_n   - neutron pairing energy  (in MeV)
Ep_p   - proton pairing energy  (in MeV)
Rc     - charge radius  (in fm)
B2_n   - neutron quadrupole deformation
B2_p   - proton quadrupole deformation
B4_n   - neutron hexadecapole deformation
B4_p   - neutron hexadecapole deformation
R2_n   - neutron mass radius (in fm)
R2_p   - proton mass radius (in fm)

c --------------------------------------------------------------------------
    This part of Fortran subroutine shows the formating used in the reading
    of the data from the table. 
  
     icount=2004
      do i=1,icount
        read(20,805) Z,N,def,E,ALam_n,ALam_p,Ep_n,Ep_p,Rc,
     *                B2_n,B2_p,B4_n,B4_p,R2_n,R2_p
      enddo
 46  58  0.177   -891.317  -8.5  -7.1 -14.10  -8.70  4.492  0.186  0.166  0.014  0.016  4.553  4.421
 46  60  0.172   -907.726  -8.0  -8.0 -16.83  -9.00  4.509  0.180  0.161 -0.004  0.004  4.602  4.438
 46  62  0.153   -923.264  -7.6  -8.8 -19.73  -9.43  4.523  0.159  0.144 -0.012 -0.002  4.647  4.451
 46  64  0.105   -938.117  -7.3  -9.6 -22.21 -10.74  4.532  0.108  0.100 -0.010 -0.003  4.688  4.460
 46  66 -0.005   -952.515  -7.1 -10.3 -22.94 -12.82  4.541 -0.005 -0.005  0.000  0.000  4.728  4.470
 46  68 -0.001   -966.210  -6.7 -11.0 -22.64 -12.93  4.556 -0.001 -0.001  0.000  0.000  4.773  4.485
 46  70 -0.001   -979.114  -6.3 -11.7 -22.32 -13.05  4.571 -0.001 -0.001  0.000  0.000  4.815  4.500
 46  72 -0.001   -991.239  -5.9 -12.4 -21.88 -13.18  4.585 -0.001 -0.001  0.000  0.000  4.855  4.515
 46  74 -0.001  -1002.616  -5.5 -13.2 -20.95 -13.33  4.599 -0.001 -0.001  0.000  0.000  4.892  4.529
 46  76 -0.001  -1013.275  -5.2 -14.0 -19.07 -13.50  4.614 -0.001 -0.001  0.000  0.000  4.928  4.544
 46  78 -0.001  -1023.223  -4.8 -14.7 -15.78 -13.70  4.628 -0.001 -0.001  0.000  0.000  4.962  4.558
 46  80 -0.001  -1032.417  -4.4 -15.5 -10.38 -13.94  4.642 -0.001 -0.001  0.000  0.000  4.993  4.572
 46  82  0.000  -1040.660  -3.1 -16.3   0.00 -14.20  4.655 -0.001  0.000  0.000  0.000  5.021  4.586
 46  84 -0.001  -1045.155  -2.1 -16.6 -11.72 -14.21  4.671 -0.001 -0.001  0.000  0.000  5.088  4.602
 46  86 -0.001  -1049.253  -2.0 -17.0 -19.39 -14.25  4.687 -0.001 -0.001  0.000  0.000  5.150  4.618
 46  88 -0.002  -1053.086  -1.9 -17.3 -25.40 -14.32  4.703 -0.002 -0.002  0.000  0.000  5.210  4.634
 46  90  0.105  -1056.741  -1.8 -17.6 -27.80 -13.35  4.728  0.116  0.084  0.021  0.012  5.271  4.660
 46  92  0.129  -1060.268  -1.7 -18.0 -30.41 -13.07  4.750  0.141  0.105  0.015  0.014  5.327  4.682
 46  94  0.132  -1063.548  -1.6 -18.4 -33.28 -13.19  4.768  0.143  0.109  0.004  0.011  5.379  4.700
 46  96  0.122  -1066.581  -1.5 -18.7 -36.19 -13.51  4.782  0.131  0.102 -0.004  0.007  5.430  4.715
 46  98  0.100  -1069.398  -1.4 -19.1 -38.98 -14.03  4.795  0.107  0.085 -0.008  0.003  5.478  4.728
 46 100  0.058  -1072.040  -1.3 -19.4 -41.61 -14.84  4.805  0.062  0.051 -0.004  0.001  5.525  4.738
 46 102  0.000  -1074.539  -1.2 -19.7 -42.80 -15.41  4.819  0.000  0.000  0.000  0.000  5.571  4.752
 46 104  0.000  -1076.824  -1.1 -20.1 -42.29 -15.62  4.836  0.000  0.000  0.000  0.000  5.615  4.769
 46 106  0.000  -1078.856  -1.0 -20.4 -41.12 -15.86  4.853  0.000  0.000  0.000  0.000  5.659  4.787
 46 108  0.000  -1080.585  -0.8 -20.8 -39.48 -16.10  4.871  0.000  0.000  0.000  0.000  5.701  4.804
 46 110  0.000  -1081.947  -0.6 -21.2 -37.91 -16.35  4.888  0.000  0.000  0.000  0.000  5.742  4.822
 46 112  0.000  -1082.865  -0.3 -21.5 -37.55 -16.62  4.905  0.000  0.000  0.000  0.000  5.783  4.840
 46 114  0.000  -1083.312  -0.1 -21.9 -39.27 -16.90  4.922  0.000  0.000  0.000  0.000  5.826  4.857
 46 116  0.000  -1083.344   0.1 -22.2 -42.44 -17.17  4.938  0.000  0.000  0.000  0.000  5.871  4.873
 48  46  0.001   -762.853 -15.9  -0.6 -11.00  -7.68  4.436  0.001  0.001  0.000  0.000  4.251  4.363
 48  48  0.001   -794.038 -15.3  -1.7  -7.06  -7.51  4.432  0.001  0.001  0.000  0.000  4.283  4.359
 48  50  0.000   -824.020 -16.5  -2.8   0.00  -7.39  4.427  0.000  0.000  0.000  0.000  4.312  4.354
 48  52  0.000   -844.919 -10.3  -3.7  -8.07  -7.54  4.450  0.000  0.000  0.000  0.000  4.373  4.378
 48  54  0.088   -865.156 -10.1  -4.4 -11.37  -6.36  4.476  0.094  0.081  0.018  0.011  4.434  4.404
 48  56  0.132   -885.021  -9.8  -5.0 -12.61  -5.11  4.501  0.141  0.121  0.017  0.009  4.493  4.430
 48  58  0.144   -904.037  -9.3  -5.7 -14.45  -4.44  4.521  0.154  0.131 -0.002 -0.004  4.545  4.450
 48  60  0.141   -922.114  -8.8  -6.5 -16.55  -4.23  4.538  0.151  0.129 -0.017 -0.014  4.593  4.467
 48  62  0.118   -939.300  -8.4  -7.4 -19.46  -5.23  4.551  0.126  0.109 -0.018 -0.014  4.637  4.481
 48  64 -0.005   -955.886  -8.2  -8.5 -22.01  -8.18  4.560 -0.006 -0.005  0.000  0.000  4.674  4.489
 48  66 -0.002   -971.786  -7.8  -9.3 -22.21  -8.28  4.575 -0.002 -0.002  0.000  0.000  4.719  4.504
 48  68 -0.001   -986.887  -7.4 -10.0 -22.42  -8.37  4.589 -0.001 -0.001  0.000  0.000  4.762  4.519
 48  70 -0.001  -1001.222  -7.0 -10.7 -22.40  -8.46  4.603 -0.001 -0.001  0.000  0.000  4.803  4.533
 48  72 -0.001  -1014.823  -6.6 -11.4 -21.91  -8.55  4.617 -0.001 -0.001  0.000  0.000  4.842  4.547
 48  74 -0.001  -1027.721  -6.3 -12.2 -20.70  -8.65  4.630 -0.001 -0.001  0.000  0.000  4.879  4.560
 48  76 -0.001  -1039.932  -5.9 -12.9 -18.47  -8.76  4.643 -0.001 -0.001  0.000  0.000  4.914  4.574
 48  78 -0.001  -1051.453  -5.6 -13.7 -14.88  -8.87  4.657 -0.001 -0.001  0.000  0.000  4.947  4.587
 48  80  0.000  -1062.245  -5.2 -14.5  -9.33  -9.00  4.670  0.000  0.000  0.000  0.000  4.978  4.600
 48  82  0.000  -1072.175  -3.7 -15.3   0.00  -9.14  4.682  0.000  0.000  0.000  0.000  5.006  4.613
 48  84  0.000  -1077.217  -2.4 -15.6 -10.27  -9.26  4.699  0.000  0.000  0.000  0.000  5.069  4.631
 48  86 -0.001  -1081.941  -2.3 -16.0 -17.76  -9.40  4.716 -0.001 -0.001  0.000  0.000  5.129  4.648
 48  88 -0.001  -1086.426  -2.2 -16.3 -23.79  -9.56  4.733 -0.001 -0.001  0.000  0.000  5.186  4.665
 48  90 -0.002  -1090.710  -2.1 -16.7 -28.74  -9.74  4.750 -0.002 -0.001  0.000  0.000  5.241  4.682
 48  92  0.097  -1094.849  -2.1 -16.9 -29.98  -9.36  4.775  0.108  0.075  0.010  0.006  5.297  4.708
 48  94  0.111  -1098.835  -2.0 -17.3 -32.20  -9.47  4.796  0.123  0.088  0.002  0.004  5.349  4.729
 48  96  0.108  -1102.597  -1.8 -17.6 -34.76  -9.73  4.813  0.118  0.086 -0.006  0.001  5.398  4.746
 48  98  0.088  -1106.143  -1.7 -18.0 -37.53 -10.17  4.827  0.096  0.072 -0.009 -0.001  5.445  4.760
 48 100  0.000  -1109.517  -1.7 -18.5 -41.00 -10.90  4.837  0.000  0.000  0.000  0.000  5.490  4.770
 48 102  0.000  -1112.740  -1.6 -18.9 -41.15 -11.16  4.854  0.000  0.000  0.000  0.000  5.535  4.788
 48 104  0.000  -1115.747  -1.5 -19.2 -40.59 -11.44  4.871  0.000  0.000  0.000  0.000  5.579  4.805
 48 106  0.000  -1118.506  -1.3 -19.6 -39.37 -11.73  4.888  0.000  0.000  0.000  0.000  5.622  4.822
 48 108  0.000  -1120.971  -1.2 -19.9 -37.64 -12.03  4.905  0.000  0.000  0.000  0.000  5.664  4.839
 48 110  0.000  -1123.077  -1.0 -20.3 -35.84 -12.34  4.922  0.000  0.000  0.000  0.000  5.704  4.857
 48 112  0.000  -1124.748  -0.7 -20.7 -34.89 -12.68  4.940  0.000  0.000  0.000  0.000  5.743  4.874
 48 114  0.000  -1125.939  -0.5 -21.1 -35.55 -13.05  4.957  0.000  0.000  0.000  0.000  5.781  4.892
 48 116  0.000  -1126.680  -0.3 -21.5 -37.42 -13.43  4.975  0.000  0.000  0.000  0.000  5.820  4.910
 48 118  0.000  -1127.040  -0.1 -21.8 -39.78 -13.81  4.992  0.000  0.000  0.000  0.000  5.861  4.927
 48 120  0.000  -1127.082   0.0 -22.2 -42.38 -14.17  5.008  0.000  0.000  0.000  0.000  5.905  4.943
 50  48  0.000   -796.265 -16.5   1.2  -6.84   0.00  4.467  0.000  0.000  0.000  0.000  4.287  4.395
 50  50  0.000   -828.530 -17.6  -3.6   0.00   0.00  4.462  0.000  0.000  0.000  0.000  4.314  4.389
 50  52  0.000   -851.207 -11.2  -4.5  -7.47   0.00  4.485  0.000  0.000  0.000  0.000  4.374  4.413
 50  54  0.000   -873.135 -10.8  -5.4 -12.61   0.00  4.506  0.000  0.000  0.000  0.000  4.429  4.434
 50  56  0.000   -894.343 -10.4  -6.3 -16.13   0.00  4.525  0.000  0.000  0.000  0.000  4.480  4.454
 50  58  0.000   -914.826 -10.1  -3.5 -18.40   0.00  4.543  0.000  0.000  0.000  0.000  4.529  4.472
 50  60  0.000   -934.568  -9.7  -7.9 -19.72   0.00  4.560  0.000  0.000  0.000  0.000  4.576  4.489
 50  62  0.000   -953.532  -9.3  -8.7 -20.40   0.00  4.576  0.000  0.000  0.000  0.000  4.621  4.505
 50  64  0.000   -971.678  -8.9  -9.4 -20.92   0.00  4.590  0.000  0.000  0.000  0.000  4.666  4.520
 50  66  0.000   -988.990  -8.5 -10.1 -21.59   0.00  4.604  0.000  0.000  0.000  0.000  4.709  4.534
 50  68  0.000  -1005.503  -8.1 -10.8 -22.21   0.00  4.618  0.000  0.000  0.000  0.000  4.751  4.548
 50  70  0.000  -1021.272  -7.7 -11.5 -22.40   0.00  4.631  0.000  0.000  0.000  0.000  4.791  4.561
 50  72  0.000  -1036.345  -7.4  -8.9 -21.89   0.00  4.644  0.000  0.000  0.000  0.000  4.829  4.574
 50  74  0.000  -1050.749  -7.1  -9.7 -20.50  -0.01  4.657  0.000  0.000  0.000  0.000  4.865  4.587
 50  76  0.000  -1064.499  -6.7 -13.8 -18.03   0.00  4.669  0.000  0.000  0.000  0.000  4.899  4.600
 50  78  0.000  -1077.582  -6.4 -11.3 -14.23  -0.01  4.681  0.000  0.000  0.000  0.000  4.932  4.612
 50  80  0.000  -1089.966  -6.0 -12.1  -8.63   0.00  4.693  0.000  0.000  0.000  0.000  4.963  4.625
 50  82  0.000  -1101.549  -4.2 -12.9   0.00  -0.01  4.705  0.000  0.000  0.000  0.000  4.991  4.636
 50  84  0.000  -1107.199  -2.8 -16.5  -9.31   0.00  4.723  0.000  0.000  0.000  0.000  5.051  4.655
 50  86  0.000  -1112.576  -2.6 -13.8 -16.54  -0.03  4.741  0.000  0.000  0.000  0.000  5.108  4.673
 50  88  0.000  -1117.739  -2.5 -17.3 -22.45   0.00  4.759  0.000  0.000  0.000  0.000  5.163  4.691
 50  90  0.000  -1122.709  -2.5 -14.6 -27.34   0.00  4.777  0.000  0.000  0.000  0.000  5.215  4.709
 50  92  0.000  -1127.505  -2.4 -15.1 -31.34  -0.01  4.795  0.000  0.000  0.000  0.000  5.267  4.727
 50  94  0.000  -1132.135  -2.3 -15.5 -34.50  -0.01  4.812  0.000  0.000  0.000  0.000  5.316  4.745
 50  96  0.000  -1136.598  -2.2 -16.0 -36.88  -0.08  4.830  0.000  0.000  0.000  0.000  5.364  4.764
 50  98  0.000  -1140.893  -2.1 -16.4 -38.51  -0.30  4.848  0.000  0.000  0.000  0.000  5.411  4.781
 50 100  0.000  -1145.011  -2.0 -16.8 -39.40  -0.81  4.866  0.000  0.000  0.000  0.000  5.457  4.800
 50 102  0.000  -1148.943  -1.9 -17.2 -39.58  -1.45  4.883  0.000  0.000  0.000  0.000  5.502  4.817
 50 104  0.000  -1152.666  -1.8 -17.6 -39.08  -2.40  4.901  0.000  0.000  0.000  0.000  5.546  4.835
 50 106  0.000  -1156.148  -1.7 -18.0 -37.95  -3.24  4.918  0.000  0.000  0.000  0.000  5.588  4.853
 50 108  0.000  -1159.349  -1.5 -18.5 -36.35  -4.05  4.936  0.000  0.000  0.000  0.000  5.630  4.870
 50 110  0.000  -1162.208  -1.3 -18.9 -34.61  -4.84  4.953  0.000  0.000  0.000  0.000  5.670  4.888
 50 112  0.000  -1164.662  -1.1 -19.3 -33.39  -5.72  4.970  0.000  0.000  0.000  0.000  5.708  4.906
 50 114  0.000  -1166.664  -0.9 -19.7 -33.20  -6.52  4.989  0.000  0.000  0.000  0.000  5.744  4.924
 50 116  0.000  -1168.221  -0.7 -20.2 -33.76  -7.38  5.007  0.000  0.000  0.000  0.000  5.779  4.943
 50 118  0.000  -1169.371  -0.5 -20.7 -34.53  -8.18  5.026  0.000  0.000  0.000  0.000  5.814  4.962
 50 120  0.000  -1170.149  -0.3 -21.1 -35.34  -8.97  5.044  0.000  0.000  0.000  0.000  5.851  4.980
 50 122  0.000  -1170.578  -0.1 -21.5 -36.38  -9.66  5.061  0.000  0.000  0.000  0.000  5.891  4.997
 50 124  0.000  -1170.686   0.0 -21.8 -38.13 -10.23  5.075  0.000  0.000  0.000  0.000  5.936  5.012
 52  56  0.163   -896.425 -11.4  -1.1  -9.22  -3.13  4.600  0.169  0.158  0.066  0.078  4.518  4.530
 52  58  0.164   -918.572 -10.8  -2.0 -12.50  -3.93  4.616  0.171  0.157  0.050  0.062  4.565  4.546
 52  60  0.158   -939.714 -10.4  -2.8 -15.51  -4.43  4.630  0.165  0.150  0.038  0.051  4.610  4.561
 52  62  0.144   -959.984 -10.0  -3.5 -18.06  -4.80  4.643  0.150  0.136  0.030  0.042  4.651  4.573
 52  64 -0.140   -979.714  -9.7  -4.1 -17.36  -4.96  4.659 -0.149 -0.130  0.032  0.032  4.695  4.590
 52  66 -0.142   -998.580  -9.2  -4.9 -17.54  -4.85  4.672 -0.151 -0.131  0.028  0.030  4.736  4.603
 52  68 -0.132  -1016.569  -8.8  -5.6 -18.39  -4.92  4.683 -0.139 -0.123  0.019  0.023  4.773  4.614
 52  70 -0.115  -1033.778  -8.4  -6.3 -19.14  -5.23  4.693 -0.120 -0.108  0.008  0.015  4.809  4.624
 52  72 -0.093  -1050.285  -8.1  -6.9 -19.48  -5.78  4.702 -0.096 -0.088  0.002  0.008  4.843  4.634
 52  74 -0.049  -1066.183  -7.8  -7.4 -19.82  -6.99  4.710 -0.049 -0.048  0.001  0.003  4.875  4.642
 52  76 -0.010  -1081.594  -7.5  -8.1 -17.94  -7.55  4.720 -0.010 -0.011  0.000  0.000  4.908  4.652
 52  78 -0.003  -1096.342  -7.2  -8.9 -14.04  -7.46  4.732 -0.003 -0.003  0.000  0.000  4.940  4.663
 52  80 -0.002  -1110.422  -6.9  -9.7  -8.37  -7.35  4.743 -0.002 -0.002  0.000  0.000  4.970  4.675
 52  82 -0.001  -1123.749  -8.2 -10.5   0.00  -7.22  4.753 -0.001 -0.001  0.000  0.000  4.999  4.685
 52  84 -0.002  -1130.348  -3.2 -11.0  -9.11  -7.48  4.773 -0.002 -0.002  0.000  0.000  5.055  4.706
 52  86  0.003  -1136.684  -3.1 -11.6 -16.27  -7.73  4.793  0.003  0.003  0.000  0.000  5.109  4.726
 52  88  0.137  -1143.343  -3.3 -12.8 -14.81  -5.01  4.826  0.148  0.117  0.087  0.061  5.171  4.759
 52  90  0.156  -1149.753  -3.1 -13.5 -18.11  -5.48  4.849  0.170  0.132  0.079  0.061  5.223  4.782
 52  92  0.167  -1155.784  -2.9 -14.1 -21.50  -6.33  4.870  0.181  0.141  0.063  0.055  5.272  4.804
 52  94  0.173  -1161.469  -2.8 -14.6 -24.56  -7.22  4.890  0.188  0.148  0.045  0.047  5.321  4.824
 52  96  0.176  -1166.833  -2.6 -15.1 -27.35  -7.96  4.909  0.189  0.151  0.030  0.040  5.367  4.843
 52  98  0.171  -1171.895  -2.5 -15.5 -30.02  -8.47  4.926  0.183  0.149  0.018  0.034  5.411  4.861
 52 100 -0.154  -1176.818  -2.4 -15.7 -30.97  -7.83  4.938 -0.167 -0.128  0.037  0.029  5.454  4.873
 52 102 -0.148  -1181.510  -2.3 -16.1 -32.11  -8.17  4.954 -0.160 -0.124  0.024  0.024  5.495  4.889
 52 104 -0.133  -1185.910  -2.1 -16.5 -33.35  -8.50  4.968 -0.144 -0.113  0.011  0.018  5.534  4.903
 52 106 -0.104  -1190.051  -2.0 -16.8 -34.84  -9.01  4.979 -0.110 -0.090  0.000  0.010  5.572  4.914
 52 108  0.000  -1194.064  -2.0 -16.9 -35.87 -10.33  4.986  0.000  0.000  0.000  0.000  5.610  4.921
 52 110  0.000  -1197.830  -1.8 -17.4 -34.45 -10.54  5.001  0.000  0.000  0.000  0.000  5.649  4.937
 52 112  0.000  -1201.222  -1.6 -17.8 -33.19 -10.75  5.017  0.000  0.000  0.000  0.000  5.686  4.953
 52 114  0.000  -1204.207  -1.4 -18.3 -32.33 -10.96  5.034  0.000  0.000  0.000  0.000  5.720  4.970
 52 116  0.000  -1206.777  -1.2 -18.8 -31.71 -11.18  5.051  0.000  0.000  0.000  0.000  5.753  4.988
 52 118  0.000  -1208.939  -1.0 -19.3 -30.97 -11.41  5.069  0.000  0.000  0.000  0.000  5.785  5.006
 52 120  0.000  -1210.699  -0.8 -19.9 -29.85 -11.65  5.087  0.000  0.000  0.000  0.000  5.817  5.024
 52 122  0.000  -1212.045  -0.6 -20.4 -28.39 -11.91  5.105  0.000  0.000  0.000  0.000  5.850  5.042
 52 124  0.000  -1212.942  -0.3 -20.8 -27.30 -12.16  5.122  0.000  0.000  0.000  0.000  5.886  5.059
 52 126  0.000  -1213.356  -0.1 -21.2 -28.60 -12.39  5.135  0.000  0.000  0.000  0.000  5.931  5.072
 52 128  0.000  -1213.360   0.1 -21.4 -32.68 -12.57  5.145  0.000  0.000  0.000  0.000  5.986  5.082
 54  56  0.205   -897.222 -12.4   0.1  -6.79  -5.58  4.665  0.204  0.206  0.064  0.074  4.545  4.596
 54  58  0.216   -921.292 -11.7  -0.9 -10.17  -5.78  4.680  0.219  0.213  0.058  0.067  4.593  4.612
 54  60  0.230   -944.226 -11.2  -1.8 -12.69  -6.00  4.696  0.236  0.224  0.061  0.068  4.641  4.627
 54  62  0.249   -966.234 -10.8  -2.7 -13.64  -6.57  4.713  0.257  0.239  0.067  0.071  4.689  4.645
 54  64  0.265   -987.352 -10.3  -3.6 -13.43  -7.44  4.731  0.275  0.254  0.065  0.070  4.735  4.663
 54  66  0.265  -1007.531  -9.9  -4.4 -13.52  -7.61  4.744  0.274  0.254  0.051  0.060  4.775  4.677
 54  68  0.225  -1026.843  -9.5  -5.0 -15.89  -5.96  4.745  0.231  0.216  0.043  0.054  4.800  4.677
 54  70  0.198  -1045.446  -9.1  -5.5 -16.08  -5.52  4.752  0.202  0.194  0.037  0.049  4.831  4.684
 54  72  0.176  -1063.311  -8.8  -6.1 -15.48  -5.49  4.760  0.177  0.174  0.031  0.042  4.862  4.692
 54  74  0.151  -1080.432  -8.4  -6.7 -14.77  -5.85  4.767  0.150  0.152  0.023  0.033  4.893  4.700
 54  76  0.115  -1096.899  -8.1  -7.3 -13.85  -6.97  4.773  0.112  0.120  0.012  0.019  4.922  4.706
 54  78  0.057  -1112.883  -7.9  -7.9 -12.63  -9.22  4.779  0.055  0.061  0.000  0.002  4.949  4.711
 54  80 -0.003  -1128.604  -7.7  -8.6  -8.18 -10.11  4.787 -0.003 -0.003  0.000  0.000  4.977  4.719
 54  82 -0.001  -1143.609  -9.1  -9.4   0.00  -9.79  4.796 -0.001 -0.002  0.000  0.000  5.005  4.729
 54  84 -0.005  -1151.266  -3.8 -10.0  -8.80 -10.03  4.819 -0.005 -0.005  0.000  0.000  5.058  4.752
 54  86  0.130  -1159.163  -4.2 -10.7  -9.56  -6.47  4.850  0.134  0.123  0.081  0.056  5.119  4.784
 54  88  0.166  -1167.413  -4.0 -11.4 -11.65  -5.65  4.876  0.174  0.153  0.091  0.065  5.173  4.810
 54  90  0.185  -1175.157  -3.8 -12.0 -14.83  -5.61  4.898  0.196  0.168  0.081  0.063  5.223  4.833
 54  92  0.199  -1182.396  -3.5 -12.7 -18.07  -5.84  4.920  0.211  0.178  0.067  0.058  5.271  4.854
 54  94  0.210  -1189.197  -3.3 -13.3 -20.90  -6.23  4.940  0.223  0.187  0.056  0.054  5.318  4.875
 54  96  0.221  -1195.608  -3.1 -13.9 -23.21  -6.75  4.961  0.235  0.197  0.049  0.053  5.363  4.896
 54  98  0.232  -1201.659  -3.0 -14.4 -24.97  -7.42  4.982  0.246  0.207  0.045  0.053  5.408  4.918
 54 100  0.241  -1207.366  -2.8 -14.9 -26.28  -8.15  5.003  0.254  0.216  0.041  0.052  5.451  4.938
 54 102  0.242  -1212.731  -2.6 -15.4 -27.61  -8.65  5.021  0.254  0.219  0.033  0.049  5.492  4.957
 54 104  0.231  -1217.767  -2.5 -15.8 -29.27  -8.74  5.035  0.242  0.212  0.023  0.043  5.530  4.971
 54 106 -0.173  -1222.611  -2.4 -16.0 -28.91 -10.38  5.037 -0.183 -0.154  0.019  0.029  5.563  4.973
 54 108 -0.155  -1227.192  -2.2 -16.3 -29.98 -10.46  5.049 -0.163 -0.140  0.004  0.020  5.598  4.986
 54 110 -0.129  -1231.501  -2.1 -16.7 -31.20 -10.67  5.060 -0.134 -0.118 -0.006  0.011  5.632  4.996
 54 112 -0.083  -1235.599  -2.0 -17.0 -32.51 -11.36  5.067 -0.084 -0.081 -0.005  0.004  5.666  5.004
 54 114  0.000  -1239.544  -1.9 -17.4 -32.18 -12.67  5.076  0.000  0.000  0.000  0.000  5.700  5.013
 54 116  0.000  -1243.143  -1.7 -17.9 -30.78 -12.67  5.093  0.000  0.000  0.000  0.000  5.733  5.029
 54 118  0.000  -1246.364  -1.5 -18.4 -28.98 -12.65  5.110  0.000  0.000  0.000  0.000  5.764  5.047
 54 120  0.000  -1249.194  -1.3 -18.9 -26.51 -12.63  5.127  0.000  0.000  0.000  0.000  5.793  5.064
 54 122  0.000  -1251.603  -1.1 -19.5 -23.13 -12.61  5.144  0.000  0.000  0.000  0.000  5.823  5.082
 54 124  0.000  -1253.511  -0.8 -20.0 -18.63 -12.61  5.162  0.000  0.000  0.000  0.000  5.852  5.099
 54 126  0.000  -1254.702  -0.4 -20.5 -15.75 -12.65  5.177  0.000  0.000  0.000  0.000  5.887  5.115
 54 128  0.000  -1255.063  -0.1 -20.6 -22.41 -12.82  5.187  0.000  0.000  0.000  0.000  5.944  5.125
 56  58  0.254   -921.692 -12.7   0.3  -8.63  -6.40  4.741  0.251  0.257  0.068  0.073  4.617  4.673
 56  60  0.375   -946.780 -12.4  -1.3  -3.02  -9.92  4.795  0.375  0.374  0.219  0.225  4.702  4.727
 56  62  0.350   -970.630 -11.6  -2.0  -7.70  -9.93  4.796  0.353  0.347  0.159  0.165  4.733  4.729
 56  64  0.331   -993.348 -11.1  -2.7  -9.18  -9.79  4.800  0.336  0.327  0.108  0.117  4.766  4.733
 56  66  0.322  -1015.020 -10.6  -3.3  -9.00  -9.81  4.808  0.326  0.316  0.070  0.083  4.802  4.741
 56  68  0.297  -1035.564 -10.0  -3.9  -9.74  -9.23  4.811  0.302  0.291  0.035  0.052  4.831  4.744
 56  70  0.248  -1055.208  -9.7  -4.4 -12.38  -8.04  4.808  0.250  0.244  0.024  0.039  4.852  4.741
 56  72  0.212  -1074.205  -9.3  -5.0 -12.52  -8.02  4.811  0.212  0.212  0.016  0.030  4.878  4.744
 56  74  0.179  -1092.482  -9.0  -5.5 -12.21  -8.24  4.816  0.177  0.182  0.008  0.019  4.905  4.749
 56  76  0.137  -1110.153  -8.7  -6.1 -11.99  -8.51  4.819  0.133  0.142 -0.003  0.005  4.932  4.752
 56  78  0.081  -1127.406  -8.6  -6.7 -11.13  -9.33  4.822  0.077  0.086 -0.007 -0.004  4.957  4.756
 56  80 -0.002  -1144.670  -8.5  -7.5  -7.97 -10.06  4.828 -0.002 -0.002  0.000  0.000  4.984  4.761
 56  82 -0.001  -1161.288  -9.9  -8.3   0.00  -9.52  4.836 -0.001 -0.001  0.000  0.000  5.011  4.770
 56  84 -0.005  -1170.128  -4.4  -8.9  -8.29  -9.56  4.861 -0.006 -0.005  0.000  0.000  5.062  4.795
 56  86  0.125  -1179.065  -4.8  -9.4  -9.13  -8.91  4.891  0.127  0.121  0.066  0.044  5.120  4.825
 56  88  0.174  -1188.571  -4.7 -10.0 -10.25  -8.86  4.918  0.179  0.166  0.084  0.059  5.174  4.853
 56  90  0.199  -1197.634  -4.4 -10.7 -12.93  -8.65  4.942  0.206  0.187  0.077  0.059  5.223  4.877
 56  92  0.216  -1206.144  -4.1 -11.3 -15.78  -8.58  4.964  0.225  0.201  0.066  0.056  5.270  4.899
 56  94  0.235  -1214.171  -3.9 -12.0 -18.09  -8.78  4.987  0.246  0.218  0.064  0.059  5.317  4.922
 56  96  0.263  -1221.798  -3.7 -12.7 -18.92  -9.42  5.013  0.275  0.243  0.081  0.076  5.364  4.949
 56  98  0.293  -1229.054  -3.5 -13.4 -18.23 -10.44  5.041  0.305  0.271  0.099  0.096  5.413  4.978
 56 100  0.304  -1235.840  -3.3 -13.9 -18.73 -11.19  5.063  0.316  0.282  0.090  0.094  5.456  5.000
 56 102  0.296  -1242.128  -3.0 -14.4 -20.76 -11.45  5.077  0.307  0.275  0.064  0.076  5.493  5.014
 56 104  0.278  -1248.001  -2.9 -14.8 -22.96 -11.34  5.088  0.289  0.259  0.036  0.055  5.528  5.024
 56 106  0.259  -1253.521  -2.7 -15.2 -24.74 -11.03  5.097  0.267  0.242  0.013  0.038  5.561  5.034
