
   The included below is "mass table" calculated with the DD-ME$\delta$ covariant 
energy density functional. It represent a part of the study of the global
performance of covariant energy density functionals and assesment of 
related systematic theoretical uncertainties. The major results of this
study are presented in the following publication: 

      S. E. Agbemava, A. V. Afanasjev, D. Ray and P. Ring,
     "Global performance of covariant energy density functionals: 
      Ground state observables of even-even nuclei and the estimate 
      of theoretical uncertainties", 
      Physical Review C 89, 054320 (2014)

with additional analysis provided in two follow-up publications 

      A.V.Afanasjev and S.E.Agbemava,
      "Covariant energy density functionals: Nuclear matter constraints 
       and global ground state properties"
      Phys. Rev. C 93, 054310 (2016)

      A.V. Afanasjev, S.E. Agbemava, D. Ray and P.Ring,
      "Neutron drip line: Single-particle degrees of freedom and
      pairing properties as sources of theoretical uncertainties"
      Phys. Rev. C 91, 014324 (2015).

 
  If you have questions, please, contact Anatoli Afanasjev at 
           Anatoli.Afanasjev@gmail.com

------------------------------------------------------------------------

  THE NOTATION OF THE OBSERVABLES INCLUDED INTO TABLE
 
  Z    - proton number
  N    - neutron number
 def   - equilibrium quadrupole deformation
  E    - total binding energy  (in MeV)
Lam_n  - neutron chemical potential  (in MeV)
Lam_p  - proton chemical potential (in MeV)
Ep_n   - neutron pairing energy  (in MeV)
Ep_p   - proton pairing energy  (in MeV)
Rc     - charge radius  (in fm)
B2_n   - neutron quadrupole deformation
B2_p   - proton quadrupole deformation
B4_n   - neutron hexadecapole deformation
B4_p   - neutron hexadecapole deformation
R2_n   - neutron mass radius (in fm)
R2_p   - proton mass radius (in fm)

c --------------------------------------------------------------------------
    This part of Fortran subroutine shows the formating used in the reading
    of the data from the table. 
  
     icount=1686
      do i=1,icount
        read(20,805) Z,N,def,E,ALam_n,ALam_p,Ep_n,Ep_p,Rc,
     *                B2_n,B2_p,B4_n,B4_p,R2_n,R2_p
      enddo
 30  52  0.153   -678.136  -3.0 -16.5  -5.66  -7.10  4.062  0.159  0.144  0.083  0.052  4.295  3.983
 30  54  0.215   -683.745  -2.7 -17.6  -8.05  -6.75  4.099  0.225  0.198  0.071  0.057  4.373  4.020
 30  56  0.242   -688.608  -2.2 -18.5  -8.42  -7.56  4.129  0.253  0.222  0.032  0.043  4.440  4.051
 30  58  0.237   -692.353  -1.8 -19.3 -11.10  -8.53  4.152  0.246  0.220 -0.008  0.025  4.505  4.074
 30  60 -0.226   -695.521  -1.6 -20.1 -12.44  -9.63  4.171 -0.238 -0.201  0.055  0.051  4.574  4.093
 30  62 -0.207   -698.219  -1.3 -20.8 -13.70 -10.10  4.187 -0.217 -0.185  0.017  0.034  4.626  4.110
 30  64 -0.182   -700.357  -1.0 -21.5 -14.10 -10.57  4.203 -0.189 -0.166 -0.012  0.019  4.677  4.126
 30  66 -0.123   -701.965  -0.8 -22.1 -14.88 -11.36  4.211 -0.125 -0.119 -0.026  0.003  4.725  4.135
 30  68  0.000   -703.696  -0.9 -22.6 -13.58 -12.62  4.221  0.000  0.001  0.000  0.000  4.769  4.144
 30  70  0.000   -705.027  -0.2 -23.3  -6.99 -12.88  4.240  0.000  0.000  0.000  0.000  4.818  4.163
 32  28  0.281   -481.593 -15.9   0.0  -5.72  -6.99  3.958  0.279  0.284  0.039  0.013  3.718  3.876
 32  30  0.245   -512.200 -14.6  -1.3  -4.89  -6.54  3.951  0.239  0.251  0.040  0.021  3.759  3.869
 32  32  0.243   -539.888 -13.3  -2.9  -5.81  -6.40  3.965  0.238  0.248 -0.009 -0.011  3.818  3.884
 32  34 -0.258   -565.645 -11.9  -4.6  -1.92  -6.93  3.992 -0.257 -0.259  0.056  0.060  3.883  3.911
 32  36 -0.223   -587.609 -10.7  -5.7  -7.68  -7.39  3.998 -0.219 -0.228  0.026  0.040  3.930  3.917
 32  38 -0.161   -608.409 -10.1  -6.7  -6.07  -9.51  3.999 -0.156 -0.169 -0.014  0.006  3.964  3.918
 32  40  0.000   -627.947  -9.3  -7.7  -2.49 -13.49  3.999  0.000  0.000  0.000  0.000  3.997  3.918
 32  42  0.002   -644.766  -8.1  -8.9  -8.95 -13.04  4.015  0.002  0.002  0.000  0.000  4.048  3.934
 32  44  0.152   -661.145  -8.0 -10.1  -8.16  -8.71  4.042  0.145  0.160  0.040  0.028  4.108  3.962
 32  46  0.172   -676.423  -7.1 -11.2  -5.13  -7.61  4.061  0.167  0.178  0.027  0.019  4.154  3.981
 32  48  0.147   -689.790  -6.0 -12.5  -2.34  -7.59  4.073  0.141  0.156 -0.012 -0.007  4.190  3.994
 32  50  0.000   -702.325  -4.8 -13.7   0.00 -10.47  4.078  0.000  0.000  0.000  0.000  4.213  3.998
 32  52  0.148   -709.143  -4.0 -14.5  -5.78  -8.37  4.114  0.151  0.143  0.060  0.032  4.295  4.035
 32  54  0.211   -716.722  -3.7 -15.4  -7.91  -7.26  4.149  0.219  0.197  0.049  0.029  4.368  4.071
 32  56  0.235   -723.577  -3.2 -16.4  -7.72  -7.21  4.177  0.246  0.217  0.017  0.016  4.431  4.100
 32  58  0.233   -729.182  -2.7 -17.4 -10.15  -7.54  4.200  0.242  0.216 -0.023 -0.002  4.489  4.123
 32  60 -0.240   -734.104  -2.4 -18.4 -11.85  -8.74  4.226 -0.250 -0.220  0.065  0.054  4.560  4.150
 32  62 -0.228   -738.382  -2.1 -19.2 -13.23  -9.09  4.244 -0.237 -0.210  0.032  0.041  4.608  4.168
 32  64 -0.220   -742.068  -1.7 -20.0 -13.10  -9.42  4.264 -0.228 -0.204  0.010  0.032  4.656  4.188
 32  66 -0.212   -744.975  -1.3 -20.7 -13.62  -9.72  4.284 -0.218 -0.200  0.000  0.029  4.703  4.208
 32  68  0.002   -747.423  -1.6 -21.1 -13.56 -13.67  4.271  0.001  0.003  0.000  0.000  4.740  4.195
 32  70  0.000   -750.123  -0.9 -21.8  -8.40 -13.94  4.288  0.000  0.000  0.000  0.000  4.788  4.213
 32  72  0.000   -751.031  -0.3 -22.6 -13.38 -13.80  4.310  0.000  0.001  0.000  0.000  4.829  4.236
 32  74  0.077   -751.277  -0.2 -23.4 -15.49 -12.59  4.336  0.074  0.085  0.023  0.013  4.875  4.262
 32  76  0.134   -751.516   0.0 -24.0 -14.23 -11.11  4.363  0.131  0.139  0.046  0.023  4.927  4.289
 34  30 -0.246   -513.312 -16.0   0.1  -7.00  -4.86  4.032 -0.232 -0.259  0.063  0.063  3.792  3.951
 34  32 -0.260   -544.292 -15.0  -1.2  -6.51  -3.67  4.044 -0.250 -0.270  0.056  0.060  3.853  3.964
 34  34 -0.270   -573.108 -13.2  -2.5  -1.01  -2.65  4.057 -0.264 -0.276  0.055  0.060  3.906  3.977
 34  36 -0.261   -597.343 -11.8  -3.7  -7.50  -3.90  4.068 -0.256 -0.266  0.046  0.054  3.961  3.989
 34  38 -0.165   -620.250 -11.3  -5.2  -6.13  -9.72  4.059 -0.158 -0.173 -0.016  0.000  3.981  3.979
 34  40  0.000   -641.958 -10.5  -6.4  -3.20 -14.13  4.056  0.000  0.000  0.000  0.000  4.011  3.976
 34  42  0.002   -661.245  -9.3  -7.6  -9.16 -13.55  4.070  0.001  0.002  0.000  0.000  4.061  3.990
 34  44  0.115   -679.587  -9.0  -8.5  -9.27 -10.72  4.090  0.110  0.122  0.015  0.005  4.114  4.011
 34  46  0.146   -697.056  -8.3  -9.5  -6.37  -9.26  4.108  0.142  0.151  0.006 -0.004  4.160  4.030
 34  48  0.123   -712.889  -7.4 -10.7  -3.33  -9.23  4.119  0.118  0.129 -0.017 -0.016  4.195  4.041
 34  50  0.000   -727.848  -9.2 -12.0   0.00  -9.62  4.125  0.000  0.000  0.000  0.000  4.222  4.047
 34  52  0.108   -736.451  -4.6 -12.8  -6.57  -9.55  4.157  0.111  0.103  0.033  0.015  4.295  4.079
 34  54 -0.193   -745.588  -4.6 -13.7  -8.85  -6.53  4.198 -0.196 -0.190  0.067  0.049  4.373  4.121
 34  56 -0.231   -754.432  -4.3 -14.5  -9.06  -5.49  4.229 -0.236 -0.221  0.085  0.060  4.441  4.152
 34  58 -0.252   -762.402  -3.7 -15.4  -8.37  -5.27  4.256 -0.261 -0.238  0.094  0.066  4.501  4.180
 34  60 -0.253   -769.071  -3.2 -16.3 -11.26  -5.70  4.278 -0.262 -0.238  0.077  0.061  4.553  4.203
 34  62 -0.244   -774.974  -2.9 -17.1 -12.94  -6.40  4.296 -0.252 -0.230  0.049  0.050  4.599  4.221
 34  64 -0.238   -780.306  -2.5 -18.0 -12.49  -7.09  4.315 -0.245 -0.224  0.027  0.041  4.644  4.241
 34  66 -0.236   -784.873  -2.1 -18.8 -11.50  -7.50  4.336 -0.243 -0.223  0.015  0.037  4.689  4.262
 34  68 -0.212   -788.388  -1.7 -19.6 -13.64  -8.58  4.349 -0.216 -0.203 -0.001  0.027  4.731  4.275
 34  70  0.000   -792.214  -1.7 -20.3 -10.17 -13.38  4.331  0.000 -0.001  0.000  0.000  4.764  4.257
 34  72 -0.001   -794.811  -1.1 -21.1 -13.53 -13.08  4.353 -0.001 -0.001  0.000  0.000  4.803  4.279
 34  74 -0.014   -796.648  -0.8 -21.9 -15.98 -12.56  4.375 -0.013 -0.017  0.001  0.000  4.839  4.301
 34  76  0.086   -798.208  -0.7 -22.5 -14.10 -11.59  4.400  0.084  0.091  0.013  0.006  4.880  4.326
 34  78  0.095   -799.257  -0.3 -23.3 -12.30 -11.18  4.421  0.093  0.099  0.005  0.000  4.917  4.348
 34  80 -0.002   -799.777  -0.2 -24.2 -11.60 -10.64  4.438 -0.002 -0.003  0.000  0.000  4.936  4.366
 34  82  0.001   -799.874   0.4 -25.0  -5.43  -9.84  4.458  0.002 -0.001  0.001  0.000  4.969  4.386
 36  32 -0.242   -544.437 -16.1   0.5  -6.80  -8.65  4.107 -0.235 -0.249  0.045  0.038  3.871  4.028
 36  34 -0.272   -575.591 -14.5  -0.6  -2.09  -7.94  4.124 -0.264 -0.279  0.055  0.056  3.929  4.046
 36  36 -0.334   -603.138 -13.0  -1.9  -3.13  -3.86  4.159 -0.328 -0.340  0.097  0.103  4.010  4.081
 36  38 -0.138   -629.225 -12.5  -3.8  -4.19  -9.31  4.110 -0.133 -0.143 -0.031 -0.026  3.992  4.031
 36  40  0.000   -653.420 -11.6  -5.1  -3.54 -12.61  4.109  0.000  0.000  0.000  0.000  4.025  4.031
 36  42  0.001   -675.023 -10.4  -6.2  -9.27 -12.13  4.121  0.001  0.001  0.000  0.000  4.074  4.043
 36  44  0.031   -695.254  -9.9  -7.3 -11.10 -11.40  4.134  0.030  0.032  0.001  0.000  4.119  4.056
 36  46  0.074   -714.580  -9.3  -8.2  -9.21 -10.38  4.148  0.074  0.075 -0.001 -0.004  4.162  4.071
 36  48  0.001   -732.889  -8.9  -9.3  -7.23 -10.35  4.158  0.001  0.001  0.000  0.000  4.197  4.080
 36  50  0.000   -750.372  -6.9 -10.3   0.00  -9.76  4.169  0.000  0.000  0.000  0.000  4.231  4.091
 36  52 -0.069   -760.432  -5.2 -11.2  -7.79  -9.57  4.197 -0.069 -0.068  0.010  0.004  4.298  4.121
 36  54 -0.160   -770.936  -5.3 -11.9  -9.54  -9.51  4.235 -0.163 -0.155  0.043  0.026  4.369  4.159
 36  56 -0.216   -781.278  -5.1 -12.6  -9.62  -9.70  4.273 -0.221 -0.209  0.073  0.050  4.437  4.198
 36  58 -0.256   -790.990  -4.6 -13.4  -8.77  -8.91  4.309 -0.261 -0.247  0.094  0.070  4.501  4.235
 36  60 -0.292   -799.703  -4.1 -14.3  -8.72  -7.02  4.348 -0.297 -0.283  0.111  0.090  4.562  4.274
 36  62 -0.230   -807.167  -3.8 -15.3 -13.06 -10.26  4.339 -0.237 -0.217  0.039  0.037  4.589  4.264
 36  64 -0.221   -814.296  -3.4 -16.2 -12.27 -10.56  4.355 -0.229 -0.208  0.018  0.026  4.632  4.281
 36  66 -0.231   -820.598  -2.9 -17.0 -10.89 -10.68  4.380 -0.238 -0.219  0.014  0.029  4.677  4.306
 36  68 -0.002   -825.721  -3.0 -17.9 -14.06 -12.16  4.353 -0.001 -0.002  0.000  0.000  4.702  4.279
 36  70  0.000   -831.200  -2.4 -18.7 -11.41 -12.38  4.370  0.000  0.001  0.000  0.000  4.746  4.296
 36  72 -0.001   -835.397  -1.9 -19.4 -13.83 -12.27  4.390 -0.001 -0.001  0.000  0.000  4.784  4.316
 36  74 -0.003   -838.821  -1.6 -20.2 -15.75 -12.07  4.410 -0.003 -0.003  0.000  0.000  4.818  4.337
 36  76 -0.009   -841.775  -1.4 -21.0 -15.79 -11.84  4.430 -0.009 -0.010  0.000  0.000  4.851  4.358
 36  78 -0.005   -844.336  -1.2 -21.7 -13.95 -11.64  4.450 -0.005 -0.006  0.000  0.000  4.882  4.378
 36  80 -0.002   -846.513  -0.9 -22.4  -9.72 -11.45  4.470 -0.001 -0.002  0.000  0.000  4.911  4.398
 36  82 -0.001   -848.213  -0.1 -23.2  -0.03 -11.22  4.489 -0.001 -0.001  0.000  0.000  4.931  4.418
 38  34 -0.240   -575.412 -15.7   0.5  -4.40  -9.91  4.176 -0.236 -0.243  0.038  0.024  3.942  4.098
 38  36 -0.148   -606.085 -15.1  -0.8  -8.32  -6.66  4.158 -0.146 -0.149 -0.019 -0.030  3.968  4.081
 38  38 -0.124   -635.277 -13.7  -2.0  -3.29  -5.43  4.161 -0.121 -0.127 -0.039 -0.042  4.005  4.083
 38  40  0.000   -662.175 -12.7  -3.6  -3.47  -9.29  4.161  0.000  0.000  0.000  0.000  4.039  4.083
 38  42  0.000   -685.932 -11.5  -4.7  -9.26  -9.22  4.171  0.000  0.000  0.000  0.000  4.086  4.093
 38  44  0.000   -708.220 -10.9  -5.7 -11.33  -9.23  4.181  0.000  0.000  0.000  0.000  4.130  4.104
 38  46  0.000   -729.466 -10.3  -6.7 -10.67  -9.34  4.192  0.000  0.000  0.000  0.000  4.170  4.115
 38  48  0.001   -749.767  -9.8  -7.6  -7.30  -9.56  4.202  0.000  0.001  0.000  0.000  4.207  4.125
 38  50  0.000   -769.075  -7.8  -8.5   0.00  -9.88  4.212  0.000  0.000  0.000  0.000  4.240  4.135
 38  52 -0.001   -781.054  -6.0  -9.5  -8.68 -10.11  4.236 -0.001 -0.001  0.000  0.000  4.302  4.160
 38  54 -0.141   -793.089  -6.2 -10.3 -10.17 -10.31  4.275 -0.144 -0.138  0.028  0.013  4.370  4.200
 38  56  0.205   -805.051  -5.8 -11.2  -7.38 -13.13  4.312  0.214  0.193  0.031  0.025  4.428  4.237
 38  58 -0.220   -816.273  -5.5 -12.0 -11.33 -11.23  4.340 -0.225 -0.210  0.064  0.042  4.492  4.266
 38  60 -0.214   -826.620  -5.0 -12.9 -13.02 -11.32  4.357 -0.221 -0.204  0.044  0.030  4.537  4.283
 38  62 -0.201   -836.268  -4.7 -13.8 -13.18 -11.22  4.371 -0.209 -0.190  0.017  0.013  4.579  4.297
 38  64 -0.205   -845.158  -4.2 -14.7 -12.15 -11.38  4.392 -0.212 -0.192  0.007  0.010  4.623  4.318
 38  66 -0.222   -853.146  -3.7 -15.5 -10.73 -11.77  4.419 -0.229 -0.211  0.010  0.018  4.669  4.346
 38  68 -0.001   -859.964  -3.8 -16.3 -14.20 -11.33  4.390 -0.001 -0.001  0.000  0.000  4.691  4.316
 38  70  0.000   -866.895  -3.2 -17.0 -12.15 -11.45  4.406  0.000  0.000  0.000  0.000  4.733  4.333
 38  72  0.000   -872.627  -2.7 -17.7 -14.06 -11.70  4.425  0.000 -0.001  0.000  0.000  4.770  4.352
 38  74 -0.001   -877.578  -2.3 -18.5 -15.61 -12.00  4.444 -0.001 -0.001  0.000  0.000  4.804  4.371
 38  76 -0.002   -882.021  -2.1 -19.3 -15.42 -12.34  4.463 -0.002 -0.002  0.000  0.000  4.836  4.391
 38  78 -0.002   -886.045  -1.9 -20.0 -13.34 -12.72  4.482 -0.002 -0.002  0.000  0.000  4.867  4.410
 38  80 -0.001   -889.662  -1.6 -20.7  -8.92 -13.14  4.501 -0.001 -0.001  0.000  0.000  4.895  4.429
 38  82 -0.001   -892.805  -0.6 -21.5  -0.02 -13.60  4.519  0.000 -0.001  0.000  0.000  4.918  4.448
 40  36  0.000   -606.226 -16.4   0.5 -11.97  -5.77  4.204  0.000  0.000  0.000  0.000  3.973  4.127
 40  38  0.000   -638.104 -15.4  -0.6  -8.32  -5.86  4.207  0.000  0.000  0.000  0.000  4.014  4.131
 40  40  0.000   -667.664 -13.8  -1.7  -3.16  -5.57  4.213  0.000  0.000  0.000  0.000  4.054  4.137
 40  42  0.000   -693.466 -12.5  -2.8  -9.24  -6.72  4.221  0.000  0.000  0.000  0.000  4.100  4.145
 40  44  0.000   -717.751 -11.9  -3.8 -11.37  -7.85  4.230  0.000  0.000  0.000  0.000  4.143  4.153
 40  46  0.000   -740.965 -11.3  -4.9 -10.74  -8.92  4.239  0.000  0.000  0.000  0.000  4.183  4.163
 40  48  0.000   -763.198 -10.8  -5.9  -7.37  -9.94  4.248  0.000  0.000  0.000  0.000  4.219  4.172
 40  50  0.000   -784.424  -8.8  -6.9   0.00 -10.93  4.257  0.000  0.000  0.000  0.000  4.252  4.181
 40  52  0.000   -798.345  -6.9  -7.9  -8.72 -11.19  4.281  0.000  0.000  0.000  0.000  4.311  4.205
 40  54  0.160   -812.193  -7.2  -8.9  -7.52 -13.79  4.324  0.166  0.151  0.060  0.049  4.377  4.250
 40  56  0.212   -826.096  -6.7  -9.9  -6.65 -14.02  4.359  0.218  0.203  0.045  0.044  4.435  4.285
 40  58 -0.202   -838.861  -6.3 -10.5 -12.54 -10.66  4.377 -0.207 -0.196  0.045  0.026  4.490  4.304
 40  60 -0.205   -851.020  -5.9 -11.4 -13.48 -10.60  4.397 -0.210 -0.197  0.033  0.019  4.536  4.324
 40  62 -0.205   -862.439  -5.5 -12.3 -13.26 -10.54  4.416 -0.210 -0.196  0.017  0.011  4.580  4.343
 40  64 -0.211   -873.065  -5.1 -13.1 -12.05 -10.64  4.437 -0.217 -0.201  0.010  0.009  4.623  4.364
 40  66 -0.221   -882.767  -4.6 -14.0 -10.35 -10.90  4.460 -0.228 -0.211  0.008  0.011  4.666  4.388
 40  68 -0.217   -891.269  -4.0 -14.8 -11.13 -11.02  4.478 -0.221 -0.208 -0.004  0.006  4.705  4.405
 40  70  0.000   -899.154  -3.9 -15.3 -13.01 -11.98  4.444  0.000  0.000  0.000  0.000  4.725  4.371
 40  72  0.000   -906.439  -3.4 -16.1 -14.49 -12.45  4.462  0.000 -0.001  0.000  0.000  4.761  4.390
 40  74  0.000   -912.948  -3.1 -16.9 -15.67 -13.10  4.480  0.000 -0.001  0.000  0.000  4.795  4.408
 40  76  0.000   -918.928  -2.9 -17.7 -15.24 -13.76  4.499  0.000  0.000  0.000  0.000  4.827  4.427
 40  78  0.000   -924.466  -2.6 -18.4 -12.97 -14.44  4.517  0.000  0.000  0.000  0.000  4.857  4.446
 40  80  0.000   -929.580  -2.4 -19.2  -8.44 -15.12  4.535  0.000  0.000  0.000  0.000  4.885  4.464
 40  82  0.000   -934.217  -1.2 -20.0  -0.01 -15.82  4.552  0.000  0.000  0.000  0.000  4.909  4.481
 40  84  0.000   -934.383  -0.2 -20.3  -8.94 -15.59  4.565  0.000  0.000  0.000  0.000  4.989  4.494
 42  40  0.000   -669.033 -14.9   0.0  -4.15 -10.33  4.267  0.000  0.000  0.000  0.000  4.070  4.191
 42  42  0.000   -697.175 -13.6  -1.2  -9.51 -10.69  4.273  0.000  0.000  0.000  0.000  4.116  4.198
 42  44  0.000   -723.714 -13.0  -2.3 -11.52 -11.15  4.280  0.000  0.000  0.000  0.000  4.158  4.205
 42  46  0.001   -749.110 -12.4  -3.4 -10.83 -11.67  4.288  0.001  0.001  0.000  0.000  4.197  4.213
 42  48  0.001   -773.458 -11.8  -4.5  -7.41 -12.25  4.296  0.001  0.001  0.000  0.000  4.232  4.221
 42  50  0.000   -796.709  -9.8  -5.5   0.00 -12.89  4.303  0.000  0.000  0.000  0.000  4.264  4.228
 42  52  0.001   -812.633  -7.9  -6.5  -8.62 -13.23  4.327  0.001  0.001  0.000  0.000  4.321  4.252
 42  54  0.169   -828.818  -8.1  -7.7  -6.85 -13.31  4.370  0.173  0.163  0.069  0.063  4.387  4.296
 42  56  0.211   -844.509  -7.5  -8.5  -6.39 -13.40  4.401  0.216  0.204  0.051  0.052  4.442  4.327
 42  58  0.207   -858.712  -6.9  -9.4  -9.39 -14.05  4.420  0.213  0.199  0.017  0.027  4.488  4.347
 42  60 -0.206   -872.308  -6.8  -9.8 -13.56 -10.73  4.442 -0.210 -0.201  0.031  0.017  4.540  4.369
 42  62 -0.210   -885.458  -6.4 -10.7 -13.35 -10.42  4.462 -0.214 -0.204  0.020  0.011  4.584  4.389
 42  64 -0.217   -897.820  -6.0 -11.5 -12.02 -10.18  4.482 -0.222 -0.210  0.013  0.008  4.626  4.410
 42  66 -0.225   -909.261  -5.4 -12.4  -9.97 -10.04  4.503 -0.230 -0.217  0.008  0.007  4.667  4.432
 42  68 -0.226   -919.474  -4.8 -13.2  -9.70  -9.96  4.522 -0.231 -0.218 -0.003  0.002  4.707  4.451
 42  70 -0.204   -928.526  -4.4 -14.0 -11.86 -10.27  4.533 -0.205 -0.201 -0.021 -0.009  4.740  4.462
 42  72 -0.001   -937.121  -4.3 -14.6 -15.32 -14.51  4.502  0.000 -0.001  0.000  0.000  4.755  4.431
 42  74 -0.001   -945.256  -3.9 -15.5 -15.99 -14.98  4.520 -0.001 -0.001  0.000  0.000  4.789  4.448
 42  76  0.000   -952.841  -3.7 -16.3 -15.25 -15.51  4.537  0.000  0.000  0.000  0.000  4.820  4.466
 42  78  0.000   -959.959  -3.4 -17.1 -12.76 -16.07  4.554  0.000  0.000  0.000  0.000  4.850  4.483
 42  80  0.000   -966.629  -3.2 -17.8  -8.12 -16.64  4.571  0.000  0.000  0.000  0.000  4.878  4.500
 42  82  0.000   -972.805  -1.8 -18.6  -0.01 -17.24  4.587  0.000  0.000  0.000  0.000  4.903  4.517
 42  84  0.000   -973.746  -0.5 -19.0  -8.76 -17.12  4.602  0.000  0.000  0.000  0.000  4.973  4.532
 42  86  0.000   -974.489  -0.4 -19.4 -15.26 -17.02  4.617  0.000  0.000  0.000  0.000  5.040  4.547
 42  88  0.000   -975.065  -0.3 -19.8 -20.46 -16.96  4.631  0.000  0.000  0.000  0.000  5.103  4.562
 42  90  0.170   -975.998  -0.4 -20.6 -16.81 -17.30  4.680  0.184  0.141  0.059  0.045  5.151  4.611
 42  92  0.183   -976.566  -0.3 -21.1 -19.05 -17.59  4.701  0.196  0.154  0.033  0.038  5.205  4.633
 42  94 -0.191   -976.943  -0.3 -21.2 -21.71 -15.82  4.721 -0.202 -0.165  0.053  0.022  5.270  4.653
 42  96 -0.202   -977.224  -0.1 -21.7 -22.52 -15.52  4.743 -0.213 -0.176  0.039  0.018  5.320  4.675
 44  42  0.000   -698.321 -14.7   0.0  -9.86 -12.51  4.323  0.000  0.000  0.000  0.000  4.132  4.248
 44  44  0.001   -727.113 -14.1  -1.1 -11.72 -12.69  4.329  0.001  0.001  0.000  0.000  4.173  4.254
 44  46  0.002   -754.694 -13.5  -2.2 -10.94 -12.92  4.335  0.002  0.002  0.000  0.000  4.211  4.261
 44  48  0.001   -781.174 -12.9  -3.3  -7.47 -13.19  4.342  0.001  0.001  0.000  0.000  4.246  4.268
 44  50  0.000   -806.526 -10.8  -4.3   0.00 -13.50  4.348  0.000  0.000  0.000  0.000  4.277  4.274
 44  52  0.002   -824.424  -8.9  -5.3  -8.42 -13.86  4.371  0.002  0.002  0.000  0.000  4.332  4.298
 44  54  0.168   -842.840  -9.0  -6.3  -6.62 -11.47  4.412  0.171  0.164  0.068  0.063  4.397  4.339
 44  56  0.202   -860.273  -8.4  -7.2  -6.59 -11.57  4.438  0.207  0.195  0.050  0.051  4.449  4.366
 44  58  0.198   -876.203  -7.7  -8.1  -9.46 -12.32  4.457  0.204  0.191  0.018  0.026  4.493  4.384
 44  60  0.187   -891.045  -7.2  -8.9 -11.41 -13.10  4.472  0.193  0.179 -0.011  0.004  4.535  4.400
 44  62 -0.203   -905.346  -7.2  -9.2 -13.49 -11.78  4.501 -0.207 -0.197  0.022  0.013  4.586  4.430
 44  64 -0.217   -919.361  -6.8 -10.0 -12.09 -11.24  4.524 -0.221 -0.210  0.018  0.012  4.630  4.453
 44  66 -0.226   -932.467  -6.3 -10.8  -9.91 -10.89  4.545 -0.230 -0.219  0.011  0.009  4.671  4.474
 44  68 -0.229   -944.361  -5.6 -11.6  -8.91 -10.60  4.565 -0.233 -0.222  0.000  0.002  4.710  4.494
 44  70 -0.207   -954.935  -5.2 -12.4 -11.33 -10.89  4.574 -0.209 -0.203 -0.018 -0.010  4.742  4.504
 44  72 -0.001   -965.154  -5.1 -13.4 -16.36 -15.29  4.542 -0.001 -0.001  0.000  0.000  4.752  4.471
 44  74 -0.001   -974.913  -4.7 -14.2 -16.51 -15.61  4.558 -0.001 -0.001  0.000  0.000  4.785  4.488
 44  76  0.000   -984.114  -4.5 -15.0 -15.41 -15.97  4.575  0.000  0.000  0.000  0.000  4.816  4.504
 44  78  0.000   -992.827  -4.2 -15.8 -12.69 -16.36  4.591  0.000  0.000  0.000  0.000  4.846  4.521
 44  80  0.000  -1001.068  -3.9 -16.6  -7.93 -16.77  4.607  0.000  0.000  0.000  0.000  4.874  4.537
 44  82  0.000  -1008.805  -2.4 -17.3   0.00 -17.21  4.622  0.000  0.000  0.000  0.000  4.899  4.552
 44  84  0.000  -1010.604  -1.0 -17.8  -8.70 -17.24  4.639  0.000  0.000  0.000  0.000  4.962  4.569
 44  86  0.000  -1012.215  -0.9 -18.2 -15.32 -17.29  4.655  0.000  0.000  0.000  0.000  5.021  4.586
 44  88  0.153  -1014.226  -1.1 -18.9 -12.75 -16.21  4.696  0.164  0.131  0.084  0.054  5.076  4.627
 44  90  0.180  -1016.167  -0.9 -19.4 -14.52 -16.28  4.722  0.192  0.156  0.068  0.053  5.129  4.653
 44  92  0.192  -1017.702  -0.7 -19.9 -16.92 -16.59  4.743  0.204  0.166  0.040  0.042  5.179  4.675
 44  94  0.195  -1018.863  -0.5 -20.4 -19.18 -16.95  4.761  0.206  0.169  0.013  0.030  5.228  4.693
 44  96  0.188  -1019.658  -0.4 -20.8 -21.74 -17.33  4.776  0.198  0.164 -0.009  0.018  5.277  4.708
 44  98 -0.208  -1020.357  -0.4 -20.9 -22.25 -16.75  4.806 -0.218 -0.185  0.037  0.021  5.333  4.739
 44 100 -0.220  -1020.964  -0.2 -21.4 -22.08 -16.55  4.831 -0.229 -0.199  0.028  0.022  5.377  4.764
 44 102 -0.223  -1021.189   0.0 -21.9 -22.30 -16.55  4.851 -0.232 -0.204  0.015  0.020  5.420  4.785
 46  44  0.000   -728.183 -15.1  -0.1 -11.65 -11.49  4.374  0.000  0.000  0.000  0.000  4.188  4.300
 46  46  0.001   -757.912 -14.5  -1.1 -10.80 -11.55  4.380  0.001  0.001  0.000  0.000  4.225  4.306
 46  48  0.001   -786.516 -13.9  -2.2  -7.32 -11.65  4.386  0.001  0.001  0.000  0.000  4.260  4.312
 46  50  0.000   -813.962 -11.8  -3.2   0.00 -11.76  4.391  0.000  0.000  0.000  0.000  4.290  4.317
 46  52  0.003   -833.825  -9.8  -4.2  -7.93 -12.08  4.414  0.003  0.003  0.000  0.000  4.343  4.341
 46  54  0.158   -854.057  -9.9  -4.9  -6.41  -8.61  4.450  0.161  0.154  0.057  0.050  4.405  4.377
 46  56  0.187   -873.188  -9.2  -5.8  -6.89  -8.43  4.473  0.193  0.179  0.043  0.040  4.455  4.401
 46  58  0.183   -890.910  -8.6  -6.7  -9.15  -9.06  4.491  0.190  0.175  0.011  0.015  4.498  4.419
